module,hashed_uid,success,log,start_time,end_time
convert,4de6b1,0,,2024-03-15 11:47:24.286410,2024-03-15 11:47:24.457603
convert,28bb61,0,,2024-03-15 11:47:24.466409,2024-03-15 11:47:24.624751
convert,37320e,0,,2024-03-15 11:47:24.632997,2024-03-15 11:47:24.792460
convert,f1571e,0,,2024-03-15 11:47:24.801989,2024-03-15 11:47:24.845477
convert,ce6168,0,,2024-03-15 11:47:24.801989,2024-03-15 11:47:24.902875
convert,13715a,0,,2024-03-15 11:47:24.801989,2024-03-15 11:47:25.012570
convert,5fd59b,0,,2024-03-15 11:47:25.019869,2024-03-15 11:48:28.285642
visualise,09ea70,0,,2024-03-15 11:48:28.333447,2024-03-15 11:48:29.415174
visualise,4de6b1,0,,2024-03-15 11:48:29.422412,2024-03-15 11:48:31.838880
visualise,28bb61,0,,2024-03-15 11:48:31.844911,2024-03-15 11:48:33.981739
visualise,37320e,0,,2024-03-15 11:48:33.988154,2024-03-15 11:48:36.765643
visualise,5fd59b,0,,2024-03-15 11:48:36.774235,2024-03-15 11:48:38.575903
analyse_compute_radiomics,5fd59b,0,,2024-03-15 11:48:38.666721,2024-03-15 11:48:52.978556
